election,election_date,precinct_code,precinct_description,political_party,voter_count
2017 MUNICIPAL PRIMARY,5/16/2017,101,PHILA WD 01 DIV 01,GREEN,1
2017 MUNICIPAL PRIMARY,5/16/2017,5707,PHILA WD 57 DIV 07,UNKNOWN,1
2017 MUNICIPAL PRIMARY,5/16/2017,6517,PHILA WD 65 DIV 17,OTHER,1
2017 MUNICIPAL PRIMARY,5/16/2017,101,PHILA WD 01 DIV 01,DEMOCRATIC,135
2017 MUNICIPAL PRIMARY,5/16/2017,101,PHILA WD 01 DIV 01,INDEPENDENT,2
2017 MUNICIPAL PRIMARY,5/16/2017,101,PHILA WD 01 DIV 01,NO AFFILIATION,7
2017 MUNICIPAL PRIMARY,5/16/2017,101,PHILA WD 01 DIV 01,REPUBLICAN,4
2017 MUNICIPAL PRIMARY,5/16/2017,102,PHILA WD 01 DIV 02,DEMOCRATIC,178
2017 MUNICIPAL PRIMARY,5/16/2017,102,PHILA WD 01 DIV 02,NO AFFILIATION,5
2017 MUNICIPAL PRIMARY,5/16/2017,102,PHILA WD 01 DIV 02,OTHER,1
2017 MUNICIPAL PRIMARY,5/16/2017,102,PHILA WD 01 DIV 02,REPUBLICAN,6
2017 MUNICIPAL PRIMARY,5/16/2017,103,PHILA WD 01 DIV 03,UNKNOWN,1
2017 MUNICIPAL PRIMARY,5/16/2017,103,PHILA WD 01 DIV 03,DEMOCRATIC,205
2017 MUNICIPAL PRIMARY,5/16/2017,103,PHILA WD 01 DIV 03,NO AFFILIATION,5
2017 MUNICIPAL PRIMARY,5/16/2017,103,PHILA WD 01 DIV 03,NO PARTY,1
2017 MUNICIPAL PRIMARY,5/16/2017,103,PHILA WD 01 DIV 03,REPUBLICAN,10
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,DEMOCRATIC,147
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,GREEN,1
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,INDEPENDENT,1
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,NO AFFILIATION,6
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,OTHER,1
2017 MUNICIPAL PRIMARY,5/16/2017,104,PHILA WD 01 DIV 04,REPUBLICAN,21
2017 MUNICIPAL PRIMARY,5/16/2017,105,PHILA WD 01 DIV 05,DEMOCRATIC,62
2017 MUNICIPAL PRIMARY,5/16/2017,105,PHILA WD 01 DIV 05,NO AFFILIATION,2
2017 MUNICIPAL PRIMARY,5/16/2017,105,PHILA WD 01 DIV 05,REPUBLICAN,8
2017 MUNICIPAL PRIMARY,5/16/2017,106,PHILA WD 01 DIV 06,DEMOCRATIC,91
2017 MUNICIPAL PRIMARY,5/16/2017,106,PHILA WD 01 DIV 06,GREEN,1
2017 MUNICIPAL PRIMARY,5/16/2017,106,PHILA WD 01 DIV 06,NO AFFILIATION,4
2017 MUNICIPAL PRIMARY,5/16/2017,106,PHILA WD 01 DIV 06,NONE,1
2017 MUNICIPAL PRIMARY,5/16/2017,106,PHILA WD 01 DIV 06,REPUBLICAN,4
2017 MUNICIPAL PRIMARY,5/16/2017,107,PHILA WD 01 DIV 07,DEMOCRATIC,71
2017 MUNICIPAL PRIMARY,5/16/2017,107,PHILA WD 01 DIV 07,NON-PARTISAN,1
2017 MUNICIPAL PRIMARY,5/16/2017,107,PHILA WD 01 DIV 07,REPUBLICAN,5
2017 MUNICIPAL PRIMARY,5/16/2017,108,PHILA WD 01 DIV 08,DEMOCRATIC,125
2017 MUNICIPAL PRIMARY,5/16/2017,108,PHILA WD 01 DIV 08,GREEN,1
2017 MUNICIPAL PRIMARY,5/16/2017,108,PHILA WD 01 DIV 08,NO AFFILIATION,4
2017 MUNICIPAL PRIMARY,5/16/2017,108,PHILA WD 01 DIV 08,OTHER,1
2017 MUNICIPAL PRIMARY,5/16/2017,108,PHILA WD 01 DIV 08,REPUBLICAN,7
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,DEMOCRATIC,144
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,INDEPENDANT,1
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,NO AFFILIATION,5
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,NONE,1
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,OTHER,1
2017 MUNICIPAL PRIMARY,5/16/2017,109,PHILA WD 01 DIV 09,REPUBLICAN,9
2017 MUNICIPAL PRIMARY,5/16/2017,110,PHILA WD 01 DIV 10,DEMOCRATIC,159
2017 MUNICIPAL PRIMARY,5/16/2017,110,PHILA WD 01 DIV 10,INDEPENDENT,2
2017 MUNICIPAL PRIMARY,5/16/2017,110,PHILA WD 01 DIV 10,NO AFFILIATION,3
2017 MUNICIPAL PRIMARY,5/16/2017,110,PHILA WD 01 DIV 10,REPUBLICAN,6
2017 MUNICIPAL PRIMARY,5/16/2017,111,PHILA WD 01 DIV 11,DEMOCRATIC,235
2017 MUNICIPAL PRIMARY,5/16/2017,111,PHILA WD 01 DIV 11,NO AFFILIATION,7
2017 MUNICIPAL PRIMARY,5/16/2017,111,PHILA WD 01 DIV 11,REPUBLICAN,10
2017 MUNICIPAL PRIMARY,5/16/2017,112,PHILA WD 01 DIV 12,DEMOCRATIC,86
2017 MUNICIPAL PRIMARY,5/16/2017,112,PHILA WD 01 DIV 12,INDEPENDENT,1
2017 MUNICIPAL PRIMARY,5/16/2017,112,PHILA WD 01 DIV 12,NO AFFILIATION,3
2017 MUNICIPAL PRIMARY,5/16/2017,112,PHILA WD 01 DIV 12,NONE,1
2017 MUNICIPAL PRIMARY,5/16/2017,112,PHILA WD 01 DIV 12,REPUBLICAN,7
2017 MUNICIPAL PRIMARY,5/16/2017,113,PHILA WD 01 DIV 13,DEMOCRATIC,134
2017 MUNICIPAL PRIMARY,5/16/2017,113,PHILA WD 01 DIV 13,NO AFFILIATION,3
