election,election_date,precinct_description,precinct_code,political_party,voter_count
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 21,2621,REPUBLICAN,22
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 22,2622,DEMOCRATIC,87
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 22,2622,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 22,2622,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 22,2622,NON-PARTISAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 22,2622,REPUBLICAN,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 23,2623,DEMOCRATIC,173
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 23,2623,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 23,2623,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 26 DIV 23,2623,REPUBLICAN,34
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 01,2701,DEMOCRATIC,97
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 01,2701,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 02,2702,DEMOCRATIC,186
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 02,2702,GREEN,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 02,2702,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 02,2702,NONE,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 02,2702,REPUBLICAN,7
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 03,2703,DEMOCRATIC,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 03,2703,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 04,2704,DEMOCRATIC,82
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 04,2704,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 04,2704,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 05,2705,DEMOCRATIC,64
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 05,2705,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 05,2705,REPUBLICAN,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 06,2706,DEMOCRATIC,68
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 06,2706,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 06,2706,REPUBLICAN,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,DEMOCRATIC,118
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 07,2707,REPUBLICAN,10
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 08,2708,DEMOCRATIC,21
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 09,2709,DEMOCRATIC,32
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 09,2709,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 09,2709,REPUBLICAN,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 10,2710,DEMOCRATIC,77
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 10,2710,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 10,2710,REPUBLICAN,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 11,2711,DEMOCRATIC,32
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 11,2711,REPUBLICAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 12,2712,DEMOCRATIC,82
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 12,2712,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 12,2712,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 12,2712,REPUBLICAN,6
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 13,2713,DEMOCRATIC,83
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 13,2713,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 13,2713,REPUBLICAN,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 14,2714,DEMOCRATIC,123
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 14,2714,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 14,2714,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 14,2714,REPUBLICAN,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 15,2715,DEMOCRATIC,101
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 15,2715,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 27 DIV 15,2715,REPUBLICAN,5
