election,election_date,precinct_description,precinct_code,political_party,voter_count
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 27,2127,DEMOCRATIC,93
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 27,2127,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 27,2127,REPUBLICAN,20
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 28,2128,DEMOCRATIC,133
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 28,2128,REPUBLICAN,25
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 29,2129,DEMOCRATIC,96
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 29,2129,LIBERTARIAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 29,2129,NO AFFILIATION,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 29,2129,NON-PARTISAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 29,2129,REPUBLICAN,25
